Name,player_id,sport,number,active,depth_chart_position,age,birth_day,status,birth_city,years_exp,depth_chart_order,height,weight,college,team,position
Zeke Nnaji,2164,nba,22.0,True,C,23.0,2001-01-09,ACT,,4.0,4.0,81,240,Arizona,DEN,PF
Justin Holiday,1503,nba,,True,,35.0,1989-04-05,FA,,10.0,,78,180,Washington,,SG
Vincent Valerio-Bodon,2675,nba,,True,,23.0,2001-05-02,M-LEAGUE,,1.0,,81,205,,,PF
Zavier Simpson,2170,nba,,True,,27.0,1997-02-11,TWO-WAY,,1.0,,72,190,Michigan,,PG
Cliff Alexander,1654,nba,,True,,29.0,1995-11-16,FA,,1.0,,80,245,Kansas,,PF
Jamal Murray,1747,nba,27.0,True,PG,27.0,1997-02-23,ACT,,7.0,1.0,76,215,Kentucky,DEN,PG
Cameron Payne,1651,nba,1.0,True,PG,30.0,1994-08-08,ACT,,9.0,2.0,75,183,Murray State,NYK,PG
Chase-DUP Audiege-DUP,2682,nba,,True,,,,DUP,,0.0,,76,200,Northwestern,,PG
Deng Adel,1889,nba,,True,,27.0,1997-02-01,FA,,1.0,,79,200,Louisville,,SF
Devin Vassell,2146,nba,24.0,True,SG,24.0,2000-08-23,ACT,,4.0,1.0,77,205,Florida State,SAS,SG
Dewayne Dedmon,1091,nba,14.0,True,,35.0,1989-08-12,FA,,9.0,,82,245,USC,,C
Mychal Mulder,2114,nba,,True,,30.0,1994-06-12,FA,,3.0,,75,195,Kentucky,,SF
Hamidou Diallo,1979,nba,,True,,26.0,1998-07-31,FA,,5.0,,77,202,Kentucky,,SG
Thaddeus Young,1104,nba,,True,,36.0,1988-06-21,FA,,17.0,,80,225,Georgia Tech,,PF
Kalin Lucas,1529,nba,,True,,35.0,1989-05-24,FA,,2.0,,73,195,Michigan State,,PG
Simone Fontecchio,2497,nba,19.0,True,PF,28.0,1995-12-09,ACT,,2.0,2.0,79,209,,DET,SF
Matt Coleman,2372,nba,,True,,26.0,1998-01-22,FA,,1.0,,74,180,Texas,,PG
Cam Thomas,2278,nba,24.0,True,SG,23.0,2001-10-13,ACT,,3.0,1.0,75,210,LSU,BKN,SG
Tristan Da Silva,2711,nba,23.0,True,PF,23.0,2001-05-15,ACT,,0.0,1.0,81,220,Colorado,ORL,PF
Tayshaun Prince,1202,nba,,False,,44.0,1980-02-28,RET,,14.0,,81,215,Kentucky,,SF
Landry Fields,1316,nba,,False,,36.0,1988-06-27,RET,,5.0,,79,215,Stanford,,SG
Bam Adebayo,1846,nba,13.0,True,C,27.0,1997-07-18,ACT,,7.0,1.0,81,255,Kentucky,MIA,C
Ayo Dosunmu,2255,nba,11.0,True,SG,24.0,2000-01-17,ACT,,3.0,2.0,77,200,Illinois,CHI,SG
Damyean Dotson,1756,nba,,True,,30.0,1994-05-06,FA,,4.0,,77,210,Houston,,SG
Tyler Cook,2003,nba,,True,,27.0,1997-09-23,FA,,3.0,,80,255,Iowa,,PF
Isaiah Wong,2594,nba,,True,,23.0,2001-01-28,FA,,1.0,,75,185,Miami (FL),,PG
Sharife Cooper,2283,nba,,True,,23.0,2001-06-11,FA,,1.0,,73,176,Auburn,,PG
Tyrone Wallace,1837,nba,,True,,30.0,1994-06-10,FA,,3.0,,77,198,California,,SG
Josh Childress,1270,nba,,False,,41.0,1983-06-20,RET,,8.0,,80,210,Stanford,,SF
Nate Roberts,2698,nba,,True,,24.0,2000-02-28,FA,,0.0,,83,235,Washington,,C
Jerrelle Benimon,1560,nba,,True,,33.0,1991-08-01,FA,,1.0,,80,245,Towson,,PF
Jaylen Adams,1939,nba,,True,,28.0,1996-05-04,FA,,2.0,,72,225,St. Bonaventure,,PG
Greg Oden,1364,nba,,False,,36.0,1988-01-22,RET,,3.0,,84,273,Ohio State,,C
Jared McCain,2713,nba,20.0,True,SG,20.0,2004-02-20,ACT,,0.0,1.0,74,203,Duke,PHI,PG
Alan Anderson,1166,nba,,False,,42.0,1982-10-16,RET,,8.0,,78,220,Michigan State,,SF
Keshad Johnson,2767,nba,16.0,True,PF,23.0,2001-06-23,TWO-WAY,,0.0,7.0,79,225,Arizona,MIA,PF
Carlton Carrington,2715,nba,8.0,True,PG,19.0,2005-07-21,ACT,,0.0,2.0,76,195,Pittsburgh,WAS,PG
Samson Froling,2814,nba,,True,,24.0,2000-02-09,FA,,0.0,,84,230,,,C
Patty Mills,1305,nba,8.0,True,PG,36.0,1988-08-11,ACT,,15.0,3.0,74,180,Saint Mary's (CA),UTA,PG
Keenan Evans,1908,nba,,True,,28.0,1996-08-23,FA,,1.0,,75,190,Texas Tech,,PG
Scoot Henderson,2620,nba,0.0,True,PG,20.0,2004-02-03,ACT,,1.0,2.0,75,202,,POR,PG
Nemanja Dangubic,2832,nba,,True,,31.0,1993-04-13,M-LEAGUE,,1.0,,80,193,,,SG
Moritz Wagner,1932,nba,21.0,True,C,27.0,1997-04-26,ACT,,6.0,2.0,83,245,Michigan,ORL,C
Jarkel Joiner,2702,nba,,True,,25.0,1999-05-20,FA,,1.0,,73,180,North Carolina State,,PG
Justin Edwards,2748,nba,19.0,True,SF,20.0,2003-12-16,TWO-WAY,,0.0,8.0,80,203,Kentucky,PHI,PG
M.J. Walker,2340,nba,,True,,26.0,1998-03-28,FA,,1.0,,77,213,Florida State,,SG
Brian Bowen,2011,nba,,True,,26.0,1998-10-02,FA,,2.0,,79,199,,,SG
Josh Oduro,2871,nba,,True,,24.0,2000-10-14,FA,,0.0,,81,240,Providence,,PF
Luka Doncic,1970,nba,77.0,True,PG,25.0,1999-02-28,ACT,,6.0,1.0,79,230,,DAL,PG
Justin Champagnie,2324,nba,9.0,True,SF,23.0,2001-06-29,TWO-WAY,,3.0,5.0,78,206,Pittsburgh,WAS,SF
Jarnell Stokes,1533,nba,,True,,30.0,1994-01-07,FA,,3.0,,81,255,Tennessee,,PF
Omari Moore,2630,nba,,True,,24.0,2000-09-18,FA,,1.0,,78,195,San Jose State,,SG
Shane Edwards,1049,nba,,True,,30.0,1994-05-31,FA,,1.0,,79,220,Little Rock,,PF
Hedo Turkoglu,1337,nba,,False,,45.0,1979-03-19,RET,,15.0,,82,220,,,SF
Lindell Wigginton,2407,nba,,True,,26.0,1998-03-28,FA,,2.0,,73,189,Iowa State,,PG
Ade Murkey,2222,nba,,True,,26.0,1998-01-29,FA,,1.0,,77,200,Denver,,SG
Emanuel Terry,1960,nba,,True,,28.0,1996-08-21,FA,,1.0,,81,220,Lincoln Memorial (TN),,C
Malevy Leons,2855,nba,,True,,25.0,1999-09-23,FA,,0.0,,81,201,Bradley,,PF
Chimezie Metu,1952,nba,,True,,27.0,1997-03-22,FA,,5.0,,82,225,USC,,PF
Chris Paul,1339,nba,3.0,True,PG,39.0,1985-05-06,ACT,,19.0,1.0,72,190,Wake Forest,SAS,PG
Anthony Davis,1272,nba,3.0,True,C,31.0,1993-03-11,ACT,,12.0,1.0,82,268,Kentucky,LAL,PF
Rudy Gobert,1350,nba,27.0,True,C,32.0,1992-06-26,ACT,,11.0,1.0,85,250,,MIN,C
Kirk Hinrich,1004,nba,,False,,43.0,1981-01-02,RET,,13.0,,76,190,Kansas,,PG
Gabriel Deck,2250,nba,,True,,29.0,1995-02-08,FA,,1.0,,78,231,,,PF
Andrew White,1814,nba,,True,,31.0,1993-06-16,FA,,1.0,,79,210,Syracuse,,SF
Nate Wolters,1381,nba,,True,,33.0,1991-05-15,FA,,3.0,,76,190,South Dakota State,,PG
Juancho Hernangomez,1748,nba,,True,,29.0,1995-09-28,FA,,6.0,,81,214,,,PF
Joel Ayayi,2315,nba,,True,,24.0,2000-03-05,FA,,1.0,,76,180,Gonzaga,,PG
Damian Jones,1673,nba,,True,,29.0,1995-06-30,FA,,7.0,,82,245,Vanderbilt,,C
Trey Murphy,2285,nba,25.0,True,PF,24.0,2000-06-18,ACT,,3.0,1.0,80,206,Virginia,NOP,SF
Aaron Nesmith,2144,nba,23.0,True,PF,25.0,1999-10-16,ACT,,4.0,6.0,78,215,Vanderbilt,IND,SF
Royce White,1456,nba,,True,,33.0,1991-04-10,FA,,1.0,,80,260,Iowa State,,PF
Marvin Bagley,1986,nba,35.0,True,C,25.0,1999-03-14,ACT,,6.0,3.0,82,235,Duke,WAS,PF
Tyrese Martin,2469,nba,13.0,True,SF,25.0,1999-03-07,TWO-WAY,,1.0,5.0,78,215,UConn,BKN,PG
Ray McCallum,1460,nba,,True,,33.0,1991-06-12,FA,,3.0,,75,190,Detroit Mercy,,PG
Ty-Shon Alexander,2198,nba,,True,,26.0,1998-07-16,FA,,1.0,,75,195,Creighton,,SG
Kelan Martin,2038,nba,,True,,29.0,1995-08-03,FA,,2.0,,77,230,Butler,,SF
Malaki Branham,2452,nba,22.0,True,SF,21.0,2003-05-12,ACT,,2.0,3.0,77,205,Ohio State,SAS,PG
Allonzo Trier,1888,nba,,True,,28.0,1996-01-17,FA,,1.0,,76,200,Arizona,,PG
Nick Calathes,1211,nba,,True,,35.0,1989-02-07,FA,,2.0,,78,213,Florida,,SG
Ariel Hukporti,2743,nba,55.0,True,C,22.0,2002-04-12,ACT,,0.0,3.0,83,246,,NYK,C
Rawle Alkins,1884,nba,,True,,27.0,1997-10-29,FA,,1.0,,77,225,Arizona,,SG
John Butler,2533,nba,,True,,21.0,2002-12-04,FA,,1.0,,84,190,Florida State,,PF
Duplicate Player,2560,nba,,False,,,,,,,,,,,,
Kostas Antetokounmpo,1969,nba,,True,,27.0,1997-11-20,FA,,3.0,,82,200,Dayton,,PF
Jarrett Allen,1787,nba,31.0,True,C,26.0,1998-04-21,ACT,,7.0,1.0,81,243,Texas,CLE,C
Aleksej Pokusevski,2183,nba,,True,,22.0,2001-12-26,FA,,3.0,,84,210,,,PF
Jaylen Sims,2516,nba,,True,,25.0,1998-12-11,FA,,1.0,,78,210,UNC Wilmington,,PG
Dante Exum,1555,nba,0.0,True,PG,29.0,1995-07-13,ACT,,8.0,7.0,77,214,,DAL,PG
Adam Mokoka,1996,nba,,True,,26.0,1998-07-18,FA,,2.0,,76,190,,,SG
Christian Koloko,2473,nba,10.0,True,C,24.0,2000-06-20,TWO-WAY,,1.0,3.0,84,230,Arizona,LAL,C
Roman Sorkin,2799,nba,,True,,28.0,1996-08-11,FA,,0.0,,82,230,Oregon,,PF
Roger Mason,1366,nba,,False,,44.0,1980-09-10,RET,,10.0,,77,205,Virginia,,SG
Hamady Ndiaye,1465,nba,,True,,37.0,1987-01-12,FA,,2.0,,84,235,Rutgers,,C
Petr Cornelie,2367,nba,,True,,29.0,1995-07-26,FA,,1.0,,83,220,,,C
Charles Bediako,2668,nba,,True,,22.0,2002-03-10,FA,,1.0,,84,225,Alabama,,C
Gabe Kalscheur,2696,nba,,True,,25.0,1999-06-10,FA,,0.0,,76,200,Iowa State,,PG
Antonio Blakeney,1755,nba,,True,,28.0,1996-10-04,FA,,2.0,,76,192,LSU,,SG
Jules Bernard,2534,nba,,True,,24.0,2000-01-21,FA,,2.0,,78,205,UCLA,,PG
Casper Ware,1094,nba,,True,,34.0,1990-01-17,FA,,1.0,,70,175,Long Beach State,,PG
Luke Avdalovic,2804,nba,,True,,26.0,1998-11-08,FA,,0.0,,77,190,Pacific,,PG
Max Christie,2468,nba,12.0,True,SF,21.0,2003-02-10,ACT,,2.0,2.0,77,205,Michigan State,LAL,PG
Tiago Splitter,1301,nba,,False,,39.0,1985-01-01,RET,,7.0,,83,245,,,C
Darius Johnson-Odom,1098,nba,,True,,35.0,1989-09-28,FA,,2.0,,74,204,Marquette,,SG
Jaden Springer,2264,nba,44.0,True,SG,22.0,2002-09-25,ACT,,3.0,4.0,76,216,Tennessee,BOS,PG
Tobias Harris,1487,nba,12.0,True,PF,32.0,1992-07-15,ACT,,13.0,1.0,80,226,Tennessee,DET,PF
Joshua Primo,2287,nba,,True,,21.0,2002-12-24,FA,,2.0,,76,189,Alabama,,SF
Andre Ingram,1802,nba,,True,,39.0,1985-11-19,FA,,1.0,,75,184,American,,SG
Joe Johnson,1167,nba,,True,,43.0,1981-06-29,FA,,18.0,,79,240,Arkansas,,SF
Makur Maker,2511,nba,,True,,24.0,2000-11-04,FA,,1.0,,82,232,Howard,,C
Domantas Sabonis,1739,nba,11.0,True,C,28.0,1996-05-03,ACT,,8.0,1.0,83,240,Gonzaga,SAC,PF
De'Andre Hunter,2050,nba,12.0,True,PF,26.0,1997-12-02,ACT,,5.0,2.0,80,221,Virginia,ATL,SF
Malcolm Delaney,1705,nba,,True,,35.0,1989-03-11,FA,,2.0,,75,190,Virginia Tech,,PG
Stanley Umude,2535,nba,17.0,True,SG,25.0,1999-04-12,TWO-WAY,,2.0,8.0,78,210,Arkansas,MIL,PG
Pedro Bradshaw,2785,nba,,True,,26.0,1998-10-19,FA,,0.0,,79,180,Bellarmine,,PF
JaKarr Sampson,1507,nba,,True,,31.0,1993-03-20,FA,,6.0,,79,214,St. John's,,SF
Kenyon Martin,1037,nba,,False,,46.0,1977-12-30,RET,,15.0,,81,225,Cincinnati,,PF
Jabari Parker,1570,nba,,True,,29.0,1995-03-15,FA,,8.0,,79,245,Duke,,PF
Justin Tillman,2399,nba,,True,,28.0,1996-02-02,FA,,1.0,,80,220,VCU,,SF
Xavier Moon,2398,nba,,True,,29.0,1995-01-02,FA,,2.0,,72,165,Morehead State,,SG
Omari Spellman,1942,nba,,True,,27.0,1997-07-21,FA,,2.0,,80,245,Villanova,,PF
Miroslav Raduljica,1383,nba,,True,,36.0,1988-01-05,FA,,2.0,,84,250,,,C
Tyler Ulis,1737,nba,,True,,28.0,1996-01-05,FA,,3.0,,70,160,Kentucky,,PG
KJ McDaniels,1515,nba,,True,,31.0,1993-02-09,FA,,3.0,,78,205,Clemson,,SF
Tidjane Salaun,2736,nba,31.0,True,PF,19.0,2005-08-10,ACT,,0.0,2.0,81,207,,CHA,PF
Jayson Tatum,1822,nba,0.0,True,PF,26.0,1998-03-03,ACT,,7.0,1.0,80,224,Duke,BOS,SF
Brandon Boston,2292,nba,11.0,True,SF,23.0,2001-11-28,TWO-WAY,,3.0,2.0,78,188,Kentucky,NOP,SG
Paul Watson,2051,nba,,True,,29.0,1994-12-30,FA,,3.0,,78,210,Fresno State,,SF
Keita Bates-Diop,1921,nba,,True,,28.0,1996-01-23,FA,,6.0,,80,229,Ohio State,,PF
Kessler Edwards,2277,nba,20.0,True,SF,24.0,2000-08-09,TWO-WAY,,3.0,6.0,80,215,Pepperdine,DAL,SF
Bogdan Bogdanovic,1871,nba,13.0,True,SG,32.0,1992-08-18,ACT,,7.0,2.0,77,225,,ATL,SG
Jamaal Tinsley,1346,nba,,False,,46.0,1978-02-28,RET,,11.0,,75,188,Iowa State,,PG
Bryce Hamilton,2420,nba,,True,,24.0,2000-11-10,FA,,1.0,,76,205,UNLV,,SG
DJ Burns,2774,nba,,True,,24.0,2000-10-13,NWT,,0.0,,81,275,North Carolina State,,PF
Jaron Blossomgame,1890,nba,,True,,31.0,1993-09-16,FA,,1.0,,80,220,Clemson,,SF
Darren Collison,1344,nba,,True,,37.0,1987-08-23,FA,,11.0,,72,175,UCLA,,PG
Chris Clemons,2046,nba,,True,,27.0,1997-07-23,FA,,1.0,,69,180,Campbell,,SG
Malik Williams,2708,nba,,True,,26.0,1998-08-26,FA,,2.0,,83,250,Louisville,,C
Jahlil Tripp,2207,nba,,True,,27.0,1997-09-22,FA,,1.0,,77,215,Pacific,,PF
Jordan Schakel,2371,nba,,True,,26.0,1998-06-13,FA,,1.0,,78,200,San Diego State,,SF
Corey Brewer,1183,nba,,False,,38.0,1986-03-05,RET,,13.0,,81,186,Florida,,SG
George Hill,1072,nba,,True,,38.0,1986-05-04,FA,,14.0,,76,188,IUPUI,,PG
Jalen Johnson,2284,nba,1.0,True,PF,22.0,2001-12-18,ACT,,3.0,1.0,80,219,Duke,ATL,PF
Leandro Barbosa,1413,nba,,False,,42.0,1982-11-28,RET,,14.0,,75,194,,,SG
Justin James,2103,nba,,True,,27.0,1997-01-24,FA,,2.0,,78,190,Wyoming,,SF
Jesse Edwards,2829,nba,14.0,True,C,24.0,2000-03-18,TWO-WAY,,0.0,6.0,84,237,West Virginia,MIN,C
Anthony Edwards,2133,nba,5.0,True,SG,23.0,2001-08-05,ACT,,4.0,1.0,76,230,Georgia,MIN,SG
Timofey Mozgov,1470,nba,,True,,38.0,1986-07-16,FA,,8.0,,85,275,,,C
Skylar Mays,2137,nba,,True,,27.0,1997-09-05,FA,,3.0,,76,205,LSU,,SG
Matt Mooney,2006,nba,,True,,29.0,1995-02-07,FA,,1.0,,75,199,Texas Tech,,SG
Anthony Black,2590,nba,0.0,True,PG,20.0,2004-01-20,ACT,,1.0,2.0,79,200,Arkansas,ORL,PG
Ty Jerome,2090,nba,2.0,True,PG,27.0,1997-07-08,ACT,,5.0,2.0,77,195,Virginia,CLE,SG
Jordan Tucker,2822,nba,,True,,26.0,1998-04-03,FA,,1.0,,79,210,Butler,,PF
Onyeka Okongwu,2136,nba,17.0,True,C,23.0,2000-12-11,ACT,,4.0,2.0,82,240,USC,ATL,C
Kevin Cross,2787,nba,,True,,24.0,2000-06-22,FA,,0.0,,80,240,Tulane,,PF
James Johnson,1198,nba,16.0,True,PF,37.0,1987-02-20,ACT,,15.0,5.0,79,239,Wake Forest,IND,PF
John Wall,1116,nba,,True,,34.0,1990-09-06,FA,,10.0,,75,210,Kentucky,,PG
Meyers Leonard,1443,nba,,True,,32.0,1992-02-27,FA,,9.0,,84,260,Illinois,,C
Johnathan Williams,1930,nba,,True,,29.0,1995-05-22,FA,,2.0,,81,228,Gonzaga,,PF
Kenneth Lofton,2415,nba,,True,,22.0,2002-08-14,FA,,2.0,,78,275,Louisiana Tech,,PF
Patric Young,1543,nba,,True,,32.0,1992-02-01,FA,,0.0,,81,240,Florida,,PF
Dzanan Musa,1917,nba,,True,,25.0,1999-05-08,FA,,2.0,,81,217,,,SF
Sacha Killeya-Jones,2506,nba,,True,,26.0,1998-08-10,FA,,1.0,,83,220,Kentucky,,PF
Ahmad Caver,2241,nba,,True,,28.0,1996-09-12,FA,,1.0,,74,174,Old Dominion,,PG
Bobi Klintman,2837,nba,34.0,True,PF,21.0,2003-03-06,ACT,,0.0,4.0,81,225,Wake Forest,DET,SF
Charles Cooke,1819,nba,,True,,30.0,1994-07-01,FA,,1.0,,77,196,Dayton,,SG
C.J. Miles,1050,nba,,True,,37.0,1987-03-18,FA,,16.0,,78,220,,,SG
Eli Brooks,2554,nba,,True,,26.0,1998-10-14,FA,,1.0,,73,185,Michigan,,PG
Alex Poythress,1678,nba,,True,,31.0,1993-09-06,FA,,3.0,,81,235,Kentucky,,PF
James Harden,1240,nba,1.0,True,PG,35.0,1989-08-26,ACT,,15.0,1.0,77,220,Arizona State,LAC,SG
Khris Middleton,1378,nba,22.0,True,SG,33.0,1991-08-12,ACT,,12.0,1.0,79,222,Texas A&M,MIL,SF
Jaylin Galloway,2706,nba,,True,,21.0,2002-12-21,FA,,1.0,,79,190,,,SF
Sergey Karasev,1046,nba,,True,,31.0,1993-10-26,FA,,3.0,,79,208,,,SG
Dwight Howard,1241,nba,,True,,38.0,1985-12-08,FA,,18.0,,82,265,,,C
Aamir Simms,2338,nba,,True,,25.0,1999-02-17,FA,,1.0,,80,245,Clemson,,PF
Jake Stephens,2701,nba,,True,,25.0,1999-11-05,M-LEAGUE,,1.0,,84,275,Chattanooga,,C
DeJon Jarreau,2346,nba,77.0,True,,26.0,1998-01-23,FA,,1.0,,77,185,Houston,,SG
Malachi Smith,2703,nba,,True,,24.0,1999-12-06,FA,,1.0,,76,205,Gonzaga,,SG
Jaden Hardy,2485,nba,1.0,True,PG,22.0,2002-07-05,ACT,,2.0,2.0,76,198,,DAL,PG
D.J. White,1145,nba,,False,,38.0,1986-08-31,RET,,6.0,,81,250,Indiana,,PF
Orlando Robinson,2414,nba,77.0,True,C,24.0,2000-07-10,ACT,,2.0,4.0,82,235,Fresno State,SAC,C
Nemanja Bjelica,1612,nba,,False,,36.0,1988-05-09,RET,,7.0,,81,234,,,C
Riley Minix,2807,nba,27.0,True,PF,24.0,2000-09-22,TWO-WAY,,0.0,8.0,79,230,Morehead State,SAS,SF
Caron Butler,1384,nba,,False,,44.0,1980-03-13,RET,,14.0,,79,228,UConn,,SF
Keyonte George,2580,nba,3.0,True,PG,21.0,2003-11-08,ACT,,1.0,1.0,76,185,Baylor,UTA,PG
Jordan McLaughlin,2037,nba,3.0,True,PG,28.0,1996-04-09,ACT,,5.0,3.0,72,185,USC,SAC,PG
Charles Pride,2790,nba,,True,,25.0,1999-09-22,FA,,0.0,,76,200,St. Bonaventure,,PG
Matt Williams,1847,nba,,True,,31.0,1993-10-14,FA,,1.0,,77,210,UCF,,SG
Kendall Brown,2462,nba,,True,,21.0,2003-05-11,FA,,2.0,,80,205,Baylor,,PG
Matt Bonner,1302,nba,,False,,44.0,1980-04-05,RET,,12.0,,82,235,Florida,,C
Derrick Williams,1190,nba,,True,,33.0,1991-05-25,FA,,7.0,,80,240,Arizona,,PF
Josh Giddey,2313,nba,3.0,True,PG,22.0,2002-10-10,ACT,,3.0,1.0,80,216,,CHI,SG
Shawn Marion,1405,nba,,False,,46.0,1978-05-07,RET,,16.0,,79,228,UNLV,,SF
Dru Smith,2360,nba,12.0,True,PG,26.0,1997-12-30,TWO-WAY,,2.0,5.0,74,203,Missouri,MIA,SG
Ty Lawson,1474,nba,,True,,37.0,1987-11-03,FA,,9.0,,71,195,North Carolina,,PG
Deonte Burton,1981,nba,,True,,30.0,1994-01-31,FA,,3.0,,76,240,Iowa State,,SF
Jordan Hill,1222,nba,,False,,37.0,1987-07-27,RET,,8.0,,82,240,Arizona,,PF
Zaccharie Risacher,2737,nba,10.0,True,SF,19.0,2005-04-08,ACT,,0.0,1.0,81,215,,ATL,PF
Saddiq Bey,2131,nba,14.0,True,SF,25.0,1999-04-09,ACT,,4.0,9.0,79,215,Villanova,WAS,SF
Kahlil Whitney,2211,nba,,True,,23.0,2001-01-08,FA,,1.0,,78,210,Kentucky,,SF
Damjan Rudez,1502,nba,,False,,38.0,1986-06-17,RET,,3.0,,82,228,,,SF
Brandon Davies,1099,nba,,True,,33.0,1991-07-25,FA,,2.0,,82,240,BYU,,PF
Xavier Silas,1820,nba,,False,,36.0,1988-01-22,RET,,2.0,,77,198,Northern Illinois,,SG
Galen Robinson,2843,nba,,True,,27.0,1997-03-31,FA,,1.0,,73,190,Houston,,PG
Caleb Daniels,2629,nba,,True,,25.0,1999-05-17,FA,,1.0,,76,210,Villanova,,SG
EJ Onu,2342,nba,,True,,25.0,1999-07-31,FA,,1.0,,83,230,Shawnee State,,PF
Julius Randle,1535,nba,30.0,True,PF,30.0,1994-11-29,ACT,,10.0,1.0,81,255,Kentucky,MIN,PF
Arinze Onuaku,1047,nba,,True,,37.0,1987-07-13,FA,,3.0,,81,255,Syracuse,,PF
Chasson Randle,1668,nba,,True,,31.0,1993-02-05,FA,,4.0,,74,185,Stanford,,PG
Javonte Green,2059,nba,4.0,True,PF,31.0,1993-07-23,ACT,,5.0,2.0,77,205,Radford,NOP,SF
Billy Preston,1891,nba,,True,,27.0,1997-10-26,FA,,1.0,,82,240,Kansas,,PF
AJ Johnson,2738,nba,77.0,True,SG,19.0,2004-12-01,ACT,,0.0,9.0,77,165,,MIL,PG
Aaron Gray,1325,nba,,False,,39.0,1984-12-07,RET,,7.0,,84,270,Pittsburgh,,C
James Bouknight,2273,nba,,True,,24.0,2000-09-18,FA,,2.0,,76,190,UConn,,SG
Dereck Lively,2584,nba,2.0,True,C,20.0,2004-02-12,ACT,,1.0,1.0,85,234,Duke,DAL,C
Marco Belinelli,1295,nba,,True,,38.0,1986-03-25,FA,,13.0,,77,220,,,SG
Dwight Buycks,1327,nba,,True,,35.0,1989-03-06,FA,,3.0,,75,190,Marquette,,PG
Jamel Artis,1880,nba,,True,,31.0,1993-01-12,FA,,1.0,,79,213,Pittsburgh,,SF
Kentavious Caldwell-Pope,1141,nba,3.0,True,SG,31.0,1993-02-18,ACT,,11.0,1.0,77,204,Georgia,ORL,SG
Anzejs Pasecniks,2022,nba,,True,,28.0,1995-12-20,FA,,2.0,,85,229,,,C
Semi Ojeleye,1826,nba,,True,,29.0,1994-12-05,FA,,4.0,,78,240,SMU,,PF
James Michael McAdoo,1504,nba,,True,,31.0,1993-01-04,FA,,4.0,,81,230,North Carolina,,PF
Trayvon Palmer,2401,nba,,True,,30.0,1994-11-13,FA,,1.0,,78,200,Chicago State,,SG
Marcus Paige,1782,nba,,True,,31.0,1993-09-11,FA,,1.0,,72,164,North Carolina,,PG
Duncan Robinson,1961,nba,55.0,True,SG,30.0,1994-04-22,ACT,,6.0,2.0,79,215,Michigan,MIA,SF
Julyan Stone,1311,nba,,True,,35.0,1988-12-07,FA,,4.0,,78,200,UTEP,,SG
Terquavion Smith,2635,nba,,True,,21.0,2002-12-31,FA,,2.0,,76,160,North Carolina State,,PG
Tarik Black,1537,nba,,True,,33.0,1991-11-22,FA,,4.0,,81,250,Kansas,,PF
Jarron Cumberland,2396,nba,,True,,27.0,1997-09-22,FA,,1.0,,77,205,Cincinnati,,SG
Isaiah Taylor,1701,nba,,True,,30.0,1994-07-11,FA,,2.0,,75,170,Texas,,PG
Darrun Hilliard,1606,nba,,True,,31.0,1993-04-13,FA,,3.0,,78,220,Villanova,,SF
Isaiah Thomas,1463,nba,,True,,35.0,1989-02-07,FA,,12.0,,69,185,Washington,,PG
Markquis Nowell,2636,nba,,True,,24.0,1999-12-25,FA,,2.0,,67,160,Kansas State,,SG
Yannick Nzosa,2489,nba,,True,,21.0,2003-11-15,FA,,1.0,,82,195,,,C
Jordan Poole,2012,nba,13.0,True,PG,25.0,1999-06-19,ACT,,5.0,1.0,76,194,Michigan,WAS,SG
Amen Thompson,2574,nba,1.0,True,SF,21.0,2003-01-30,ACT,,1.0,2.0,79,215,,HOU,PG
Steve Blake,1090,nba,,False,,44.0,1980-02-26,RET,,13.0,,75,172,Maryland,,PG
T.J. McConnell,1602,nba,9.0,True,PG,32.0,1992-03-25,ACT,,9.0,2.0,74,190,Arizona,IND,PG
Eric Demers,2548,nba,,True,,27.0,1997-03-12,FA,,1.0,,73,190,Gordon College (MA),,PG
Tyler Hall,2379,nba,,True,,27.0,1997-03-25,FA,,1.0,,77,210,Montana State,,SG
Cole Aldrich,1021,nba,,True,,36.0,1988-10-31,FA,,8.0,,83,253,Kansas,,C
Damien Inglis,1569,nba,,True,,29.0,1995-05-20,FA,,1.0,,80,245,,,PF
Nikola Topic,2734,nba,44.0,True,PG,19.0,2005-08-10,ACT,,0.0,6.0,78,201,,OKC,PG
Rashad Vaughn,1645,nba,,True,,28.0,1996-08-16,FA,,3.0,,78,210,UNLV,,SG
Mason Jones,2203,nba,8.0,True,SG,26.0,1998-07-21,TWO-WAY,,3.0,7.0,76,190,Arkansas,SAC,SG
Jeff Adrien,1159,nba,,True,,38.0,1986-02-10,FA,,5.0,,79,245,UConn,,SF
David West,1059,nba,,False,,44.0,1980-08-29,RET,,15.0,,81,250,Xavier,,PF
Georgios Papagiannis,1744,nba,,True,,27.0,1997-07-03,FA,,2.0,,85,240,,,C
Pau Gasol,1217,nba,,False,,44.0,1980-07-06,RET,,18.0,,85,250,,,C
Tyler Davis,1980,nba,,True,,27.0,1997-05-22,FA,,1.0,,82,266,Texas A&M,,C
Toumani Camara,2613,nba,33.0,True,SF,24.0,2000-05-08,ACT,,1.0,1.0,79,226,Dayton,POR,PF
Fred VanVleet,1717,nba,5.0,True,PG,30.0,1994-02-25,ACT,,8.0,1.0,72,193,Wichita State,HOU,PG
Patrick Baldwin,2436,nba,7.0,True,PF,22.0,2002-11-18,ACT,,2.0,4.0,81,220,Milwaukee,WAS,SF
